ticker,year,roe,lucro_liquido,margem_liquida,receita_liquida,divida_liquida,ebitda,divida_ebitda,market_cap,p_l,cagr_lucro
AALR3,2019,3.7934,5.0073E+7,4.6672,1.072865E+9,2.347127E+9,,,,,
AALR3,2020,-7.5535,-9.2431E+7,-9.9518,9.28787E+8,3.065797E+9,,,,,
AALR3,2021,0.1644,1.988E+6,0.1749,1.136572E+9,3.195593E+9,,,,,
AALR3,2022,-22.3281,-2.19243E+8,-20.2066,1.085009E+9,4.148644E+9,,,,,
AALR3,2023,-23.1526,-2.18559E+8,-18.5285,1.179584E+9,4.254535E+9,,,,,
AALR3,2024,-9.7819,-1.11202E+8,-9.1374,1.216992E+9,3.017389E+9,,,,,
ABCB4,2019,,4.97394E+8,22.1296,2.247643E+9,1.8856853E+10,,,,,
ABCB4,2020,7.8728,3.40688E+8,14.3426,2.375353E+9,2.5893568E+10,,,,,
ABCB4,2021,11.9564,5.63585E+8,19.8438,2.840113E+9,2.8385333E+10,,,,,
ABCB4,2022,15.081,7.89718E+8,15.5389,5.082213E+9,2.7646836E+10,,,,,
ABCB4,2023,13.5971,8.00853E+8,13.41,5.972038E+9,2.7171281E+10,,,,,
ABCB4,2024,15.2062,9.71274E+8,9.597,1.0120641E+10,2.4397209E+10,,,,,14.3216
ABEV3,2019,19.4839,1.2188332E+10,23.1719,5.2599709E+10,-2.332744E+9,,,,,
ABEV3,2020,15.6111,1.1731909E+10,20.0961,5.8378995E+10,-1.265531E+9,,,,,
ABEV3,2021,15.6188,1.3122582E+10,18.0121,7.2854344E+10,-7.38588E+9,,,,,
ABEV3,2022,17.8707,1.4891291E+10,18.6821,7.9708827E+10,-3.352189E+9,,,,,
ABEV3,2023,18.667,1.4960459E+10,18.7623,7.9736856E+10,-5.225975E+9,,,,,
ABEV3,2024,14.9095,1.4846952E+10,16.5976,8.9452669E+10,-1.8042078E+10,,,,,4.0252
AERI3,2019,50.9397,8.8742E+7,10.6372,8.34259E+8,6.87252E+8,,,,,
AERI3,2020,11.7153,1.13199E+8,5.1251,2.208702E+9,1.60145E+9,,,,,
AERI3,2021,6.9221,6.9193E+7,2.7831,2.48615E+9,2.024555E+9,,,,,
AERI3,2022,-10.4772,-9.2709E+7,-3.7551,2.468884E+9,2.563869E+9,,,,,
AERI3,2023,-9.3623,-1.06567E+8,-3.7631,2.831915E+9,2.43041E+9,,,,,
AERI3,2024,-451.5161,-9.34083E+8,-61.5953,1.516484E+9,2.802523E+9,,,,,
AESO3,2020,-1.9034,-4.1E+4,,0,-4E+4,,,,,
AESO3,2021,11.1955,5.16512E+8,20.5639,2.511746E+9,2.611787E+10,,,,,
AESO3,2022,7.6566,2.97662E+8,10.7012,2.781576E+9,3.1111202E+10,,,,,
AESO3,2023,8.4905,3.3409E+8,11.067,3.018802E+9,2.8527941E+10,,,,,
AESO3,2024,0.7693,2.8155E+7,0.8188,3.438492E+9,2.9748829E+10,,,,,
